date,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Population ages 15-64 (% of total population),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),"Immunization, measles (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months)"
2019,1.63800001144409,,,,,
2018,1.70000004768372,68.6025495906116,16.2112389922363,15.1862114171521,99.0,99.0
2017,1.70000004768372,68.8156204984913,16.4062997442336,14.778079757275,99.0,99.0
2016,2.0,69.0380873435303,16.5734606405023,14.3884520159674,99.0,99.0
2015,2.40000009536743,69.2786023853353,16.6748655007103,14.0465321139543,99.0,99.0
2014,2.70000004768372,69.4168182554659,16.8767595444341,13.7064222001,99.0,99.0
2013,3.28999996185303,69.5233854451625,17.0736089151528,13.4030056396847,99.0,99.0
2012,3.46000003814697,69.6025638565656,17.2757309517617,13.1217051916727,99.0,99.0
2011,3.1800000667572,69.6657666670137,17.4946565579788,12.8395767750075,99.0,97.0
2010,2.5,69.7183692041712,17.7410814628261,12.5405493330027,99.0,96.0
2009,1.66999995708466,69.8072070808997,17.9948193188226,12.1979736002777,99.0,96.0
2008,1.58299994468689,69.9160832576679,18.2270382294303,11.8568785129017,98.0,95.0
2007,1.78799998760223,70.0165725693846,18.4643007159642,11.5191267146512,97.0,93.0
2006,1.91299998760223,70.034617832766,18.7770041118,11.188378055434,96.0,89.0
2005,1.95000004768372,69.9305745853469,19.201050083372,10.8683753312812,98.0,89.0
2004,1.85399997234344,69.7333019862022,19.6451137363099,10.6215842774879,99.0,88.0
2003,2.32999992370605,69.3975866276291,20.2110874851714,10.3913258871995,99.0,72.0
2002,3.30999994277954,68.9983821817305,20.8208184344316,10.1807993838379,98.0,99.0
2001,4.07999992370605,68.6898229924816,21.3106669460003,9.99951006151818,96.0,98.0
2000,5.44999980926514,68.5653978859347,21.5839222463989,9.85067986766645,94.0,95.0
1999,6.26000022888184,68.4053472047431,21.8681025235754,9.72655027168152,96.0,95.0
1998,6.23000001907349,68.3822594198661,21.9810010099023,9.63673957023169,99.0,99.0
1997,7.09999990463257,68.4400948084994,21.9945308948389,9.56537429666165,96.0,99.0
1996,7.6100001335144,68.4371010082644,22.0800649548376,9.482834036898,99.0,90.0
1995,8.27000045776367,68.2626008288566,22.3697614640073,9.3676377071361,99.0,99.0
1994,8.25899982452393,68.2683115002848,22.4276931542501,9.30399534546507,99.0,99.0
1993,8.22299957275391,68.2270944952344,22.5474650547496,9.22544045001597,96.0,99.0
1992,8.03800010681152,68.1246680098249,22.7377235936074,9.13760839656767,99.0,94.0
1991,7.94399976730347,67.9593990448531,22.9856593059736,9.05494164917325,99.0,99.0
1990,,67.7521450200892,23.2590546728046,8.98880030710616,94.0,92.0
1989,,67.3362133867074,23.7459696198733,8.91781699341925,98.0,96.0
1988,,66.7376067214548,24.4133716232664,8.84902165527885,89.0,98.0
1987,,66.0060429821468,25.2142705837074,8.77968643414572,99.0,87.0
1986,,65.2853195028741,26.0012496196201,8.71343087750576,80.0,99.0
1985,,64.6796253205242,26.6680801603421,8.65229451913371,85.0,91.0
1984,,63.8938922205113,27.6060795189305,8.50002826055816,82.0,86.0
1983,,63.1978647278953,28.4477559244764,8.35437934762833,94.0,99.0
1982,,62.5180866968327,29.2776075451115,8.2043057580558,55.0,99.0
1981,,61.6514843231397,30.3235544918223,8.02496118503804,49.0,68.0
1980,,60.4799410810279,31.7184121483221,7.80164677065004,48.0,67.0
1979,,59.4740028216138,32.9230523475436,7.60294483084259,,
1978,,58.3010011061242,34.3201244255991,7.37887446827678,,
1977,,57.140377987386,35.7158851694284,7.1437368431856,,
1976,,56.3062920679392,36.7685668316345,6.92514110042633,,
1975,,55.9686070162713,37.2957776060023,6.73561537772634,,
1974,,55.7747095385715,37.6777676512414,6.54752281018717,,
1973,,56.0373987722148,37.5766494196847,6.38595180810049,,
1972,,56.5823023939805,37.1830772120069,6.23462039401264,,
1971,,57.032224439036,36.9059581422501,6.06181741871383,,
1970,,57.1396909351704,37.0107067501892,5.84960231464047,,
1969,,57.4250611816968,36.902152736053,5.67278608225025,,
1968,,57.4468666741467,37.0809023347095,5.47223099114381,,
1967,,57.348960488146,37.385094805707,5.26594470614707,,
1966,,57.4891685489731,37.4189743634609,5.09185708756603,,
1965,,58.1216734653411,36.9042552376055,4.97407129705338,,
1964,,58.4469122172461,36.6881287963885,4.8649589863654,,
1963,,59.045197522226,36.1540824740591,4.80072000371493,,
1962,,59.7686200114308,35.4665702471577,4.76480974141146,,
1961,,60.2650318191793,35.0120830590301,4.72288512179065,,
1960,,60.2864904603536,35.0618169088045,4.65169263084194,,
